company_id,company_name,cfo_quality_score,free_cash_flow_cr,cashflow_classification,confidence_pct,operating_activity,investing_activity,financing_activity,capital_allocation,distress_signal,deleveraging
GODREJCP,Godrej Consumer Products Ltd,-3.69,-1365.0,Weak Cash Flow,55,2070.0,-3435.0,1406.0,Mixed,No,No
GRASIM,Grasim Industries Ltd,-1.08,-33833.0,Weak Cash Flow,55,-10719.0,-23114.0,33908.0,Growth Funded by Debt,Yes,No
HAL,Hindustan Aeronautics Ltd,1.08,1814.0,Excellent Cash Generator,95,8226.0,-6412.0,-1999.0,Shareholder Returns,No,Yes
HAVELLS,Havells India Ltd,1.54,335.0,Excellent Cash Generator,95,1953.0,-1618.0,-534.0,Shareholder Returns,No,Yes
HCLTECH,HCL Technologies Ltd,1.43,15840.0,Excellent Cash Generator,95,22448.0,-6608.0,-15464.0,Shareholder Returns,No,Yes
HDFCBANK,HDFC Bank Ltd,0.29,35669.0,Weak Cash Flow,55,19069.0,16600.0,-3983.0,Liquidating Assets,No,Yes
HDFCLIFE,HDFC Life Insurance Company Ltd,6.81,-2893.0,Moderate Cash Flow,95,10721.0,-13614.0,-403.0,Shareholder Returns,No,Yes
HEROMOTOCO,"Hero MotoCorp Ltd
",1.32,3095.0,Excellent Cash Generator,95,4923.0,-1828.0,-2717.0,Shareholder Returns,No,Yes
HINDALCO,Hindalco Industries Ltd,2.37,9789.0,Excellent Cash Generator,95,24056.0,-14267.0,-10817.0,Shareholder Returns,No,Yes
HINDUNILVR,"Hindustan Unilever Ltd
",1.5,10145.0,Excellent Cash Generator,95,15469.0,-5324.0,-10034.0,Shareholder Returns,No,Yes
ICICIBANK,ICICI Bank Ltd,3.41,12547.0,Excellent Cash Generator,95,157284.0,-144737.0,13765.0,Mixed,No,No
ICICIGI,ICICI Lombard General Insurance Company Ltd,1.25,486.0,Excellent Cash Generator,95,2407.0,-1921.0,-355.0,Shareholder Returns,No,Yes
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,-8.6,105.0,Weak Cash Flow,55,-7315.0,7420.0,-88.0,Mixed,No,Yes
INDIGO,Interglobe Aviation Ltd,2.59,9424.0,Excellent Cash Generator,95,21183.0,-11759.0,-9979.0,Shareholder Returns,No,Yes
INDUSINDBK,IndusInd Bank Ltd,-1.88,-17468.0,Weak Cash Flow,55,-16843.0,-625.0,-2242.0,Pre-Revenue,No,Yes
INFY,Infosys Ltd,0.96,20117.0,Excellent Cash Generator,95,25210.0,-5093.0,-17504.0,Reinvestor,No,Yes
IOC,"Indian Oil Corporation
",1.65,39635.0,Excellent Cash Generator,95,71099.0,-31464.0,-39385.0,Shareholder Returns,No,Yes
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,0.79,667.0,Healthy Cash Flow,85,882.0,-215.0,-404.0,Reinvestor,No,Yes
IRFC,Indian Railway Finance Corporation Ltd,1.23,7906.0,Excellent Cash Generator,95,7914.0,-8.0,-8046.0,Shareholder Returns,No,Yes
ITC,"ITC Ltd
",0.83,18742.0,Excellent Cash Generator,95,17179.0,1563.0,-18551.0,Liquidating Assets,No,Yes
JINDALSTEL,Jindal Steel & Power Ltd,1.01,-2336.0,Moderate Cash Flow,95,6008.0,-8344.0,1381.0,Mixed,No,No
JIOFIN,Jio Financial Services Ltd,-0.42,763.0,Weak Cash Flow,55,-678.0,1441.0,-753.0,Mixed,No,Yes
JSWENERGY,JSW Energy Ltd,3.61,-1963.0,Moderate Cash Flow,95,6234.0,-8197.0,1675.0,Mixed,No,No
JSWSTEEL,JSW Steel Ltd,1.35,-2389.0,Moderate Cash Flow,95,12078.0,-14467.0,-5005.0,Shareholder Returns,No,Yes
KOTAKBANK,"Kotak Mahindra Bank Ltd
",0.86,6766.0,Excellent Cash Generator,95,15685.0,-8919.0,15515.0,Mixed,No,No
LICI,Life Insurance Corporation of India,0.64,853.0,Healthy Cash Flow,85,26122.0,-25269.0,-4427.0,Reinvestor,No,Yes
LODHA,Macrotech Developers Ltd,1.62,-435.0,Moderate Cash Flow,95,2512.0,-2947.0,951.0,Mixed,No,No
LT,Larsen & Toubro Ltd,1.17,20445.0,Excellent Cash Generator,95,18266.0,2179.0,-25413.0,Liquidating Assets,No,Yes
LTIM,LTIMindtree Ltd,1.24,1752.0,Excellent Cash Generator,95,5670.0,-3918.0,-2269.0,Shareholder Returns,No,Yes
M&M,"Mahindra & Mahindra Ltd
",-0.46,-11245.0,Weak Cash Flow,55,-5630.0,-5615.0,12281.0,Growth Funded by Debt,Yes,No
MARUTI,Maruti Suzuki India Ltd,1.25,4936.0,Excellent Cash Generator,95,16801.0,-11865.0,-4062.0,Shareholder Returns,No,Yes
MOTHERSON,Samvardhana Motherson International Ltd,2.51,925.0,Excellent Cash Generator,95,7569.0,-6644.0,1281.0,Mixed,No,No
NAUKRI,Info Edge (India) Ltd,1.18,-150.0,Moderate Cash Flow,95,702.0,-852.0,120.0,Mixed,No,No
NESTLEIND,Nestle India Ltd,1.06,2938.0,Excellent Cash Generator,95,4175.0,-1237.0,-3135.0,Shareholder Returns,No,Yes
NHPC,"NHPC Ltd
",1.72,970.0,Excellent Cash Generator,95,6938.0,-5968.0,-581.0,Shareholder Returns,No,Yes
NTPC,NTPC Ltd,1.91,8644.0,Excellent Cash Generator,95,40785.0,-32141.0,-8246.0,Shareholder Returns,No,Yes
ONGC,Oil & Natural Gas Corpn Ltd,1.74,42060.0,Excellent Cash Generator,95,99263.0,-57203.0,-45650.0,Shareholder Returns,No,Yes
PFC,Power Finance Corporation Ltd,-3.7,-101229.0,Weak Cash Flow,55,-97820.0,-3409.0,101261.0,Growth Funded by Debt,Yes,No
PIDILITIND,Pidilite Industries Ltd,1.56,955.0,Excellent Cash Generator,95,2724.0,-1769.0,-742.0,Shareholder Returns,No,Yes
PNB,Punjab National Bank,-3.05,-29445.0,Weak Cash Flow,55,-27939.0,-1506.0,3518.0,Growth Funded by Debt,Yes,No
POWERGRID,Power Grid Corporation of India Ltd,2.39,24176.0,Excellent Cash Generator,95,37290.0,-13114.0,-25903.0,Shareholder Returns,No,Yes
RECLTD,REC Ltd,-4.08,-59554.0,Weak Cash Flow,55,-57723.0,-1831.0,59588.0,Growth Funded by Debt,Yes,No
RELIANCE,"Reliance Industries Ltd
",2.01,45207.0,Excellent Cash Generator,95,158788.0,-113581.0,-16646.0,Shareholder Returns,No,Yes
SBILIFE,SBI Life Insurance Company Ltd,15.38,-2099.0,Moderate Cash Flow,95,29122.0,-31221.0,-227.0,Shareholder Returns,No,Yes
SHREECEM,Shree Cement Ltd,1.93,1929.0,Excellent Cash Generator,95,3347.0,-1418.0,-1710.0,Shareholder Returns,No,Yes
SHRIRAMFIN,"Shriram Finance Ltd
",-4.2,-31359.0,Weak Cash Flow,55,-31101.0,-258.0,27609.0,Growth Funded by Debt,Yes,No
SIEMENS,Siemens Ltd,0.61,1168.0,Healthy Cash Flow,85,1670.0,-502.0,-523.0,Reinvestor,No,Yes
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,1.26,11372.0,Excellent Cash Generator,95,12135.0,-763.0,-6710.0,Shareholder Returns,No,Yes
TATACONSUM,Tata Consumer Products Ltd,1.59,26.0,Excellent Cash Generator,95,1937.0,-1911.0,256.0,Mixed,No,No
TATAMOTORS,Tata Motors Ltd,2.14,45133.0,Excellent Cash Generator,95,67915.0,-22782.0,-37006.0,Shareholder Returns,No,Yes
TATAPOWER,"Tata Power Company Ltd
",2.94,3569.0,Excellent Cash Generator,95,12596.0,-9027.0,-4497.0,Shareholder Returns,No,Yes
TATASTEEL,"Tata Steel Ltd
",-4.13,6048.0,Weak Cash Flow,55,20301.0,-14253.0,-11097.0,Reinvestor,No,Yes
TCS,Tata Consultancy Services Ltd,0.96,50429.0,Excellent Cash Generator,95,44338.0,6091.0,-48536.0,Liquidating Assets,No,Yes
TECHM,Tech Mahindra Ltd,2.66,5058.0,Excellent Cash Generator,95,6376.0,-1318.0,-4767.0,Shareholder Returns,No,Yes
TITAN,"Titan Company Ltd
",0.48,1506.0,Moderate Cash Flow,70,1695.0,-189.0,-1329.0,Reinvestor,No,Yes
TORNTPHARM,Torrent Pharmaceuticals Ltd,1.97,3106.0,Excellent Cash Generator,95,3266.0,-160.0,-2780.0,Shareholder Returns,No,Yes
TRENT,Trent Ltd,0.91,841.0,Excellent Cash Generator,95,1349.0,-508.0,-629.0,Reinvestor,No,Yes
TVSMOTOR,TVS Motor Company Ltd,-0.7,-2254.0,Weak Cash Flow,55,-1253.0,-1001.0,2759.0,Growth Funded by Debt,Yes,No
