company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,total_debt_cr,high_leverage_warning,asset_turnover,free_cash_flow_cr,capex_cr,cfo_quality_score,fcf_conversion_rate,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,sales,eps,book_value,dividend_payout,composite_quality_score,id,year_market,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,broad_sector,sector_median_pe,fcf_yield_pct,pe_vs_sector_pct,flag
HAL,2024-03,25.0,32.09,3816.58,3617.39,1687.78,0.62,270.88,80,0,67.51,1814.0,21.11,1.08,18.61,8.71,26.49,26.64,30381,114.0,465.0,31.0,78.12,216.0,2024,2643616.86,3140281.78,71.89,3.65,8.76,2.77,Industrials,47.155,0.07,152.45,Caution
HDFCLIFE,2024-03,1.55,99.48,10.73,646.47,0.52,0.06,192.29,-290178,0,0.34,-2893.0,13.42,6.81,-2.87,21.17,4.25,3.13,101482,7.0,73.0,27.0,52.6,240.0,2024,47027.6,42921.31,50.59,11.28,31.63,3.22,Financials,33.57,-6.15,150.7,Caution
HINDUNILVR,2024-03,16.61,76.32,20.07,89.68,13.1,0.03,57.85,-3141,0,0.79,10145.0,8.6,1.5,21.48,9.5,11.15,9.46,61896,44.0,216.0,96.0,63.07,258.0,2024,548890.59,587463.38,34.51,11.88,7.52,4.32,Consumer Staples,50.95,1.85,67.73,Discount
ICICIPRULI,2024-03,0.94,102.03,7.73,754.89,0.28,0.11,31.02,-288528,0,0.3,105.0,8.22,-8.6,0.11,16.85,-5.66,-5.59,90307,6.0,80.0,10.0,41.34,276.0,2024,1596987.55,2014403.87,20.83,12.38,22.57,0.35,Financials,33.57,0.01,62.05,Discount
INDIGO,2024-03,11.85,76.3,892.57,5643.45,668.33,0.02,22.61,-171,0,56.39,9424.0,17.07,2.59,17.93,19.31,120.69,121.24,68904,212.0,97.0,0.0,84.03,282.0,2024,1040632.92,1061542.29,76.23,7.87,24.64,4.27,Consumer Discretionary,38.005,0.91,200.58,Caution
INDUSINDBK,2024-03,19.56,38.55,14.25,3.56,1.74,6.89,1.88,325877,0,0.09,-17468.0,1.37,-1.88,-99.04,15.5,22.08,15.9,45748,115.0,807.0,14.0,28.45,288.0,2024,1807433.12,1674611.06,8.99,3.7,28.79,1.42,Financials,33.57,-0.97,26.78,Discount
INFY,2024-03,17.08,23.7,29.79,42.64,19.3,0.09,87.52,-16264,0,1.13,20117.0,3.31,0.96,55.23,13.2,11.24,12.47,153670,63.0,218.0,,67.42,294.0,2024,1112279.92,1372029.68,35.99,8.97,36.7,4.1,Information Technology,63.63,1.81,56.56,Discount
IOC,2024-03,5.56,9.74,23.53,25.64,8.94,0.72,10.28,67086,0,1.61,39635.0,4.05,1.65,52.4,8.01,20.1,20.11,776352,30.0,129.0,40.0,57.41,300.0,2024,1418164.33,1786391.89,28.61,4.24,33.71,1.25,Energy,44.57,2.79,64.19,Discount
IRCTC,2024-03,26.02,34.33,34.4,47.78,18.24,0.02,82.74,60,0,0.7,667.0,5.04,0.79,45.5,17.96,29.17,28.47,4270,14.0,44.0,47.0,72.4,306.0,2024,1258520.29,1473943.68,60.44,5.74,32.47,1.08,Consumer Discretionary,38.005,0.05,159.03,Caution
IRFC,2024-03,24.06,99.5,13.04,5.75,1.32,8.38,1.32,411985,1,0.05,7906.0,0.03,1.23,29.82,19.07,23.25,20.11,26645,5.0,39.0,31.0,52.9,312.0,2024,2618348.58,2449260.08,9.81,3.91,16.66,2.82,Financials,33.57,0.3,29.22,Discount
JSWENERGY,2024-03,15.02,46.86,8.28,11.17,2.99,1.52,2.85,24538,0,0.2,-1963.0,71.37,3.61,-36.47,4.68,20.32,20.11,11486,10.0,160.0,19.0,38.39,336.0,2024,110870.53,124622.6,24.79,9.88,35.95,1.25,Energy,44.57,-1.77,55.62,Discount
LT,2024-03,7.03,13.51,77.67,152.62,56.44,0.1,3.54,-6673,0,8.03,20445.0,0.99,1.17,68.46,10.34,8.76,8.56,221113,95.0,635.0,36.0,70.97,366.0,2024,1124597.5,1097873.76,30.8,2.48,16.63,1.26,Industrials,47.155,1.82,65.32,Discount
M&M,2024-03,8.82,17.9,18.54,16.12,5.23,1.64,3.76,73439,0,0.59,-11245.0,4.04,-0.46,-45.18,5.84,15.32,16.18,139078,91.0,567.0,21.0,29.15,378.0,2024,4173085.48,3837414.39,14.22,0.81,29.08,2.37,Consumer Discretionary,38.005,-0.27,37.42,Discount
MARUTI,2024-03,9.51,13.13,15.75,26.67,11.7,0.0,117.91,-57177,0,1.23,4936.0,8.36,1.25,26.5,10.51,12.01,11.14,141858,429.0,2835.0,29.0,51.49,384.0,2024,1503863.63,1891991.87,20.78,8.26,29.97,1.78,Consumer Discretionary,38.005,0.33,54.68,Discount
MOTHERSON,2024-03,3.06,9.45,11.55,20.54,3.59,0.76,5.22,13401,0,1.17,925.0,6.73,2.51,9.92,9.21,7.56,5.92,98692,4.0,46.0,20.0,40.86,390.0,2024,146151.16,161406.34,9.54,2.38,33.39,2.18,Consumer Discretionary,38.005,0.63,25.1,Discount
NAUKRI,2024-03,23.46,28.04,1.97,3.32,1.65,0.01,28.97,-30957,0,0.07,-150.0,33.6,1.18,-21.1,17.12,0.1,-2.13,2536,44.0,3225.0,49.0,40.7,396.0,2024,563824.44,544283.76,32.88,8.33,11.87,4.29,Communication Services,48.33,-0.03,68.03,Discount
NHPC,2024-03,41.82,49.91,10.41,9.59,4.32,0.84,11.24,32082,0,0.1,970.0,61.96,1.72,20.18,1.4,7.27,5.92,9632,4.0,40.0,53.0,43.91,408.0,2024,1740404.25,2103124.81,71.17,13.74,18.26,1.68,Energy,44.57,0.06,159.68,Caution
NTPC,2024-03,11.95,28.83,13.27,14.24,4.45,1.48,4.6,221246,0,0.37,8644.0,18.01,1.91,16.8,12.22,8.74,8.45,178501,21.0,174.0,36.0,50.44,414.0,2024,907823.11,1142814.16,30.8,5.24,37.12,0.06,Energy,44.57,0.95,69.1,Discount
ONGC,2024-03,9.66,17.39,16.94,23.62,8.04,0.45,11.36,50974,0,0.83,42060.0,9.67,1.74,40.9,7.0,10.97,10.2,591396,39.0,275.0,31.0,53.52,420.0,2024,390111.05,499988.49,18.15,10.36,11.72,1.11,Energy,44.57,10.78,40.72,Discount
PIDILITIND,2024-03,14.11,21.87,20.78,31.53,14.47,0.05,54.33,-1853,0,1.03,955.0,14.29,1.56,35.27,11.84,13.49,13.56,12383,34.0,171.0,47.0,53.74,432.0,2024,162274.18,165749.2,36.12,12.3,5.36,1.01,Materials,55.62,0.59,64.94,Discount
PNB,2024-03,8.4,,61.32,,12.65,3.68,,50672,0,1.51,-29445.0,1.38,-3.05,,15.9,,,109065,8.0,110.0,18.0,,438.0,2024,1825925.6,2365495.49,19.29,10.91,23.64,1.32,Financials,33.57,-1.61,57.46,Discount
SBILIFE,2024-03,1.43,0.19,12.7,14.51,0.48,0.0,240.33,-384943,0,0.33,-2099.0,23.65,15.38,-853.25,24.23,7.37,7.89,131988,19.0,162.0,14.0,46.38,462.0,2024,886097.71,1097553.71,69.98,9.48,31.04,1.62,Financials,33.57,-0.24,208.46,Caution
SHREECEM,2024-03,8.45,22.02,8.37,22.88,6.21,0.08,19.83,-5900,0,0.73,1929.0,6.91,1.93,42.7,10.33,11.29,10.68,20521,480.0,5787.0,16.0,44.51,474.0,2024,3154358.33,2911084.5,25.87,1.21,26.58,3.2,Materials,55.62,0.06,46.51,Discount
SHRIRAMFIN,2024-03,20.33,28.92,15.12,4.32,2.98,3.99,0.68,186024,0,0.15,-31359.0,0.71,-4.2,-298.0,18.56,23.49,14.29,36388,39.0,279.0,23.0,34.15,480.0,2024,868933.47,1098024.4,68.53,7.91,28.82,1.86,Financials,33.57,-3.61,204.14,Caution
TATAMOTORS,2024-03,7.26,13.6,37.46,33.93,8.61,1.26,6.53,84291,0,1.19,45133.0,5.2,2.14,75.81,7.72,,,437928,94.0,275.0,7.0,,504.0,2024,1504106.64,1588737.42,67.07,0.93,15.35,3.65,Consumer Discretionary,38.005,3.0,176.48,Caution
TATAPOWER,2024-03,6.97,17.47,13.23,16.45,3.08,1.66,3.05,37373,0,0.44,3569.0,14.69,2.94,33.25,15.51,10.43,5.92,61449,12.0,105.0,17.0,48.19,510.0,2024,1647269.48,1925345.06,14.5,3.48,12.02,0.49,Energy,44.57,0.22,32.53,Discount
TITAN,2024-03,6.84,10.36,37.22,23.38,11.08,1.65,9.41,13183,0,1.62,1506.0,0.37,0.48,28.46,20.9,20.27,19.51,51084,39.0,110.0,28.0,59.95,534.0,2024,1793769.72,2116401.21,10.13,10.51,21.0,3.1,Consumer Discretionary,38.005,0.08,26.65,Discount
TRENT,2024-03,11.94,15.93,36.31,50.85,20.62,0.43,8.04,337,0,1.73,841.0,4.11,0.91,42.67,36.31,73.11,69.52,12375,42.0,132.0,8.0,68.23,546.0,2024,571322.04,566293.08,8.65,11.82,34.65,3.46,Consumer Discretionary,38.005,0.15,22.76,Discount
